UniqueID,Rank,Pick,Team,Player,College,Years,Games,TOTMP,TOTPTS,TOTTRB,TOTAST,FG%,3P%,FT%,WinShares,WS/48,BoxPlusMinus,VORP,MPG,PPG,RPG,APG,DraftYear
164,2,2,PHI,Shawn Bradley,BYU,12,832,19531,6752,5268,573,0.457,0.103,0.716,40.7,0.1,-0.2,8.9,23.5,8.1,6.3,0.7,1993
165,3,3,GSW,Anfernee Hardaway,Memphis,14,704,23711,10684,3146,3525,0.458,0.316,0.774,61.9,0.125,2.5,26.9,33.7,15.2,4.5,5,1993
166,4,4,DAL,Jamal Mashburn,Kentucky,11,611,22762,11644,3271,2414,0.418,0.345,0.766,43.7,0.092,0.3,13.4,37.3,19.1,5.4,4,1993
167,5,5,MIN,Isaiah Rider,UNLV,9,563,17851,9405,2166,1535,0.443,0.352,0.812,22.8,0.061,-1,4.5,31.7,16.7,3.8,2.7,1993
217,1,1,MIL,Glenn Robinson,Purdue,11,688,25346,14234,4189,1879,0.459,0.34,0.82,39.8,0.075,0.1,13.5,36.8,20.7,6.1,2.7,1994
218,2,2,DAL,Jason Kidd,California,19,1391,50111,17529,8725,12091,0.4,0.349,0.785,138.6,0.133,3.8,73.5,36,12.6,6.3,8.7,1994
219,3,3,DET,Grant Hill,Duke,18,1026,34776,17137,6169,4252,0.483,0.314,0.769,99.9,0.138,3,43.6,33.9,16.7,6,4.1,1994
220,4,4,MIN,Donyell Marshall,UConn,15,957,25027,10716,6376,1305,0.435,0.35,0.731,59,0.113,1.1,19.9,26.2,11.2,6.7,1.4,1994
221,5,5,WAS,Juwan Howard,Michigan,19,1208,36654,16159,7428,2663,0.469,0.12,0.764,59.4,0.078,-1.6,3.8,30.3,13.4,6.1,2.2,1994
271,1,1,GSW,Joe Smith,Maryland,16,1030,27022,11208,6575,1010,0.455,0.238,0.79,60.3,0.107,-1.5,3,26.2,10.9,6.4,1,1995
272,2,2,LAC,Antonio McDyess,Alabama,15,1015,28053,12227,7638,1300,0.497,0.117,0.67,69.8,0.119,-0.1,13.2,27.6,12,7.5,1.3,1995
273,3,3,PHI,Jerry Stackhouse,UNC,18,970,30222,16409,3067,3240,0.409,0.309,0.822,52.4,0.083,0.3,17.4,31.2,16.9,3.2,3.3,1995
274,4,4,WAS,Rasheed Wallace,UNC,16,1109,36243,16006,7404,1994,0.467,0.336,0.721,105.1,0.139,2.2,38.3,32.7,14.4,6.7,1.8,1995
275,5,5,MIN,Kevin Garnett,,21,1462,50418,26071,14662,5445,0.497,0.275,0.789,191.4,0.182,5.6,96.9,34.5,17.8,10,3.7,1995
329,1,1,PHI,Allen Iverson,Georgetown,14,914,37584,24368,3394,5624,0.425,0.313,0.78,99,0.126,3.2,49.6,41.1,26.7,3.7,6.2,1996
